,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,Adult,No,Travel_Rarely,Very High,Sales,Very High,1,Life Sciences,4,Male,Very High,3,2.0,Sales Executive,3,Married,Low,8,No,15.0,3.0,3.0,2,Low,2,2,Low,1,2.0,2.0
1,Elderly,No,Travel_Rarely,Very High,Research & Development,High,4,Life Sciences,4,Female,Very High,3,2.0,Laboratory Technician,3,Married,Very High,8,No,20.0,4.0,2.0,1,Medium,3,3,Medium,2,1.0,4.0
2,Elderly,No,Travel_Rarely,Medium,Sales,High,2,Medical,3,Female,High,2,2.0,Sales Executive,3,Single,Low,7,No,17.0,3.0,1.0,0,Medium,6,3,Medium,4,0.0,3.0
3,Elderly,No,Non-Travel,Low,Research & Development,High,1,Medical,4,Male,Low,2,4.0,Healthcare Representative,2,Divorced,Very High,1,Yes,15.0,3.0,4.0,1,Very High,3,3,Very High,9,15.0,0.0
4,Adult,No,Travel_Rarely,High,Research & Development,Very High,3,Life Sciences,4,Female,Very High,2,3.0,Healthcare Representative,2,Single,Very High,1,No,19.0,3.0,4.0,0,High,3,1,Very High,8,3.0,3.0
5,Elderly,No,Travel_Rarely,Very High,Sales,Very High,4,Marketing,1,Female,High,3,4.0,Manager,3,Married,Low,2,No,14.0,3.0,3.0,1,Very High,2,2,Very High,6,4.0,17.0
6,Elderly,No,Travel_Rarely,High,Research & Development,Low,2,Life Sciences,4,Female,Low,2,2.0,Manufacturing Director,4,Married,Low,9,Yes,13.0,3.0,4.0,1,Medium,4,3,Medium,3,0.0,2.0
7,Young Adult,No,Travel_Rarely,Medium,Research & Development,Very High,1,Life Sciences,1,Male,Very High,3,2.0,Laboratory Technician,3,Single,Very High,0,No,14.0,3.0,2.0,0,Low,2,3,Medium,3,1.0,2.0
8,Adult,No,Travel_Rarely,High,Research & Development,Medium,2,Other,4,Female,Low,2,1.0,Laboratory Technician,3,Married,High,1,No,11.0,3.0,2.0,1,Low,3,3,Medium,4,0.0,4.0
9,Adult,Yes,Travel_Rarely,Very High,Sales,Low,1,Marketing,3,Male,Very High,3,1.0,Sales Representative,1,Divorced,High,0,No,11.0,3.0,2.0,1,Low,3,3,Medium,3,0.0,2.0
10,Adult,No,Travel_Frequently,Very High,Sales,High,4,Marketing,4,Male,High,3,2.0,Sales Executive,4,Single,Very High,8,No,13.0,3.0,3.0,0,Low,2,4,Low,0,0.0,0.0
11,Adult,No,Travel_Rarely,Very High,Sales,Low,4,Life Sciences,3,Female,High,3,5.0,Manager,3,Married,Medium,0,No,14.0,3.0,4.0,0,Very High,2,3,Very High,15,1.0,12.0
12,Adult,No,Non-Travel,Very High,Sales,Very High,2,Marketing,4,Female,Low,3,2.0,Sales Executive,3,Married,Very High,1,No,13.0,3.0,4.0,1,Medium,2,2,High,8,0.0,0.0
13,Adult,No,Travel_Rarely,Very High,Sales,High,4,Marketing,3,Male,Low,3,2.0,Sales Executive,3,Divorced,High,0,No,12.0,3.0,4.0,0,Low,3,3,Medium,0,1.0,2.0
14,Elderly,No,Travel_Frequently,Medium,Human Resources,Low,5,Human Resources,1,Male,Low,3,2.0,Human Resources,4,Married,Medium,4,Yes,11.0,3.0,3.0,0,High,3,3,Very High,7,0.0,2.0
15,Adult,Yes,Travel_Frequently,Low,Research & Development,Very High,2,Life Sciences,4,Male,High,2,1.0,Research Scientist,4,Single,High,1,Yes,24.0,4.0,2.0,0,Low,3,2,Low,0,1.0,0.0
16,Adult,No,Non-Travel,Very High,Research & Development,Low,3,Life Sciences,3,Female,High,2,1.0,Laboratory Technician,2,Married,Low,6,No,20.0,4.0,3.0,0,Low,3,3,Low,0,0.0,2.0
17,Adult,No,Travel_Rarely,High,Sales,High,3,Marketing,3,Male,High,2,2.0,Sales Executive,3,Married,Low,1,No,18.0,3.0,1.0,1,Medium,3,3,Very High,3,1.0,4.0
18,Adult,No,Travel_Rarely,Low,Sales,Low,2,Marketing,2,Female,Very High,3,2.0,Sales Executive,2,Married,Low,3,No,14.0,3.0,3.0,1,High,4,3,Very High,8,5.0,10.0
19,Elderly,No,Travel_Frequently,Very High,Research & Development,Medium,2,Other,2,Male,Very High,3,1.0,Laboratory Technician,3,Married,Medium,4,No,17.0,3.0,4.0,1,Medium,4,3,Low,2,2.0,0.0
20,Elderly,No,Travel_Rarely,High,Research & Development,Medium,3,Life Sciences,3,Female,Low,3,3.0,Healthcare Representative,1,Married,Medium,8,No,16.0,3.0,1.0,1,Medium,1,2,Low,0,0.0,0.0
21,Adult,No,Travel_Rarely,High,Sales,Medium,3,Medical,1,Male,Low,2,2.0,Sales Executive,2,Divorced,Low,1,Yes,13.0,3.0,2.0,1,Medium,3,2,Very High,0,0.0,9.0
22,Adult,No,Travel_Frequently,Medium,Research & Development,Very High,4,Medical,1,Male,Medium,2,2.0,Laboratory Technician,3,Single,Medium,6,No,14.0,3.0,4.0,0,Medium,6,3,Low,0,0.0,0.0
23,Adult,No,Travel_Rarely,High,Research & Development,High,3,Other,2,Male,Low,3,1.0,Laboratory Technician,4,Divorced,Medium,1,No,20.0,4.0,1.0,1,Low,4,2,Low,2,1.0,2.0
24,Adult,No,Travel_Rarely,Very High,Sales,Medium,3,Life Sciences,2,Female,Low,3,3.0,Sales Executive,4,Married,Low,2,No,12.0,3.0,3.0,1,High,2,3,Very High,9,7.0,4.0
25,Elderly,No,Travel_Frequently,Low,Research & Development,Very High,5,Medical,1,Female,Medium,3,3.0,Research Director,1,Married,Very High,3,Yes,17.0,3.0,3.0,0,Very High,6,3,Low,0,0.0,0.0
26,Elderly,No,Non-Travel,Medium,Sales,Low,4,Marketing,3,Male,Very High,3,2.0,Sales Executive,2,Married,Low,7,No,11.0,3.0,4.0,1,Low,3,1,Low,0,0.0,0.0
27,Adult,No,Travel_Rarely,Medium,Sales,Medium,1,Medical,4,Female,High,2,2.0,Sales Executive,4,Married,High,3,Yes,12.0,3.0,3.0,0,Medium,3,2,Medium,2,0.0,1.0
28,Adult,No,Travel_Frequently,Medium,Research & Development,Low,3,Medical,2,Male,High,3,1.0,Research Scientist,1,Married,Low,4,No,13.0,3.0,4.0,1,Low,2,2,Low,2,1.0,2.0
29,Adult,Yes,Travel_Rarely,High,Research & Development,High,3,Life Sciences,4,Female,Very High,2,1.0,Research Scientist,1,Single,Medium,6,Yes,20.0,4.0,3.0,0,Low,5,3,Low,0,0.0,0.0
30,Adult,No,Travel_Rarely,Low,Research & Development,Low,1,Medical,1,Male,High,4,1.0,Research Scientist,1,Single,Very High,7,No,13.0,3.0,3.0,0,Low,3,2,Medium,3,0.0,1.0
31,Adult,Yes,Travel_Rarely,Low,Sales,Very High,3,Life Sciences,3,Male,Very High,3,2.0,Sales Executive,4,Single,Medium,1,Yes,18.0,3.0,4.0,0,Medium,2,3,Very High,7,7.0,7.0
32,Adult,No,Non-Travel,Medium,Research & Development,Medium,3,Medical,2,Female,High,1,2.0,Research Scientist,4,Divorced,High,7,Yes,12.0,3.0,3.0,3,Very High,3,3,Very High,11,1.0,9.0
33,Elderly,No,Travel_Rarely,Medium,Sales,Medium,4,Marketing,4,Female,Medium,2,3.0,Sales Executive,4,Single,High,3,No,14.0,3.0,4.0,0,Very High,3,4,Very High,7,15.0,17.0
34,Adult,No,Travel_Rarely,Very High,Research & Development,Very High,3,Technical Degree,3,Female,Very High,4,1.0,Research Scientist,3,Married,Very High,0,No,17.0,3.0,4.0,0,Low,5,2,Low,0,0.0,0.0
35,Adult,No,Travel_Rarely,Very High,Research & Development,Low,4,Other,3,Male,Very High,2,1.0,Research Scientist,1,Single,Low,3,Yes,11.0,3.0,2.0,0,Low,1,3,Low,2,0.0,2.0
36,Elderly,No,Travel_Rarely,Low,Human Resources,Very High,4,Human Resources,3,Male,High,4,5.0,Manager,2,Married,Very High,4,Yes,18.0,3.0,1.0,1,Very High,0,3,Very High,9,1.0,4.0
37,Adult,No,Travel_Rarely,Very High,Research & Development,High,3,Medical,2,Female,High,3,1.0,Research Scientist,2,Married,Medium,1,No,11.0,3.0,1.0,1,Medium,2,1,High,4,7.0,7.0
38,Adult,No,Travel_Rarely,Very High,Human Resources,Very High,1,Life Sciences,3,Female,High,3,1.0,Human Resources,3,Married,Medium,1,No,23.0,4.0,4.0,1,Medium,3,3,High,7,5.0,7.0
39,Adult,No,Travel_Rarely,High,Sales,High,2,Medical,3,Female,Very High,3,2.0,Sales Executive,4,Divorced,High,2,Yes,11.0,3.0,4.0,1,Medium,2,3,Medium,2,1.0,4.0
40,Elderly,No,Travel_Rarely,Medium,Research & Development,Low,2,Life Sciences,4,Male,Very High,3,3.0,Manufacturing Director,4,Divorced,High,3,No,14.0,3.0,3.0,1,High,4,2,High,8,4.0,7.0
41,Senior Citizen,No,Travel_Rarely,Low,Human Resources,High,4,Life Sciences,4,Male,Very High,3,5.0,Manager,2,Single,Low,6,No,14.0,3.0,1.0,0,Very High,4,3,High,3,7.0,7.0
42,Adult,No,Travel_Rarely,Low,Research & Development,Low,3,Life Sciences,3,Female,Low,1,2.0,Manufacturing Director,4,Single,Very High,2,No,20.0,4.0,3.0,0,High,2,3,Medium,4,0.0,2.0
43,Adult,Yes,Travel_Frequently,High,Sales,High,4,Other,4,Male,Low,3,2.0,Sales Executive,4,Single,Medium,3,Yes,24.0,4.0,1.0,0,High,2,4,Very High,9,6.0,7.0
44,Elderly,No,Travel_Rarely,Medium,Research & Development,Very High,4,Life Sciences,1,Female,Medium,2,4.0,Manufacturing Director,2,Married,Low,0,No,23.0,4.0,3.0,1,Very High,3,3,Very High,7,0.0,10.0
45,Elderly,No,Travel_Rarely,Very High,Research & Development,Very High,4,Life Sciences,4,Male,Medium,2,5.0,Research Director,3,Divorced,Low,1,Yes,17.0,3.0,3.0,1,Very High,5,3,Very High,9,0.0,9.0
46,Adult,No,Travel_Rarely,Medium,Research & Development,High,5,Life Sciences,4,Male,High,3,2.0,Healthcare Representative,3,Single,Very High,2,Yes,17.0,3.0,1.0,0,High,6,3,Low,0,0.0,0.0
47,Elderly,Yes,Travel_Rarely,Very High,Research & Development,High,3,Technical Degree,2,Female,Medium,3,5.0,Research Director,3,Married,High,1,No,12.0,3.0,4.0,0,Very High,0,3,Very High,15,15.0,8.0
48,Elderly,No,Travel_Rarely,High,Research & Development,High,3,Life Sciences,1,Male,Medium,2,4.0,Research Director,2,Divorced,Low,1,No,11.0,3.0,3.0,1,Very High,3,3,Very High,10,3.0,9.0
49,Adult,No,Travel_Rarely,Medium,Research & Development,Very High,2,Other,1,Male,Medium,2,2.0,Laboratory Technician,4,Single,Medium,4,No,14.0,3.0,4.0,0,Medium,3,3,Low,2,0.0,2.0
50,Elderly,No,Travel_Rarely,High,Research & Development,Very High,2,Life Sciences,4,Female,Very High,4,2.0,Research Scientist,1,Single,Very High,3,Yes,13.0,3.0,3.0,0,Medium,1,3,Low,2,0.0,2.0
51,Adult,Yes,Travel_Frequently,Medium,Research & Development,Medium,1,Technical Degree,3,Male,High,3,1.0,Research Scientist,1,Single,Low,0,No,22.0,4.0,3.0,0,Medium,2,3,High,4,0.0,4.0
52,Adult,No,Travel_Rarely,Low,Sales,High,3,Marketing,2,Male,Very High,2,1.0,Sales Representative,2,Married,Medium,0,No,19.0,3.0,4.0,1,Low,3,3,Low,2,1.0,2.0
53,Elderly,No,Travel_Rarely,High,Research & Development,Very High,4,Life Sciences,2,Male,Very High,2,4.0,Manager,3,Married,Medium,0,No,15.0,3.0,2.0,1,Very High,2,3,Very High,10,15.0,7.0
54,Adult,No,Travel_Rarely,Low,Research & Development,Medium,4,Medical,3,Female,Very High,2,4.0,Manager,2,Divorced,High,6,Yes,13.0,3.0,4.0,2,Very High,4,3,Very High,9,15.0,2.0
55,Elderly,No,Travel_Rarely,Medium,Research & Development,Low,3,Technical Degree,1,Male,High,3,1.0,Research Scientist,4,Married,Medium,7,No,12.0,3.0,3.0,1,Very High,2,2,High,5,1.0,2.0
56,Adult,No,Travel_Rarely,Very High,Sales,Medium,3,Life Sciences,3,Male,High,3,3.0,Sales Executive,4,Married,Very High,2,Yes,13.0,3.0,4.0,3,Medium,3,3,Medium,3,1.0,0.0
57,Adult,Yes,Travel_Rarely,Very High,Research & Development,Very High,3,Medical,1,Male,Low,3,1.0,Laboratory Technician,3,Divorced,High,1,No,20.0,4.0,3.0,1,Low,0,2,Low,1,0.0,0.0
58,Adult,No,Travel_Frequently,Medium,Research & Development,Very High,4,Life Sciences,3,Female,Very High,2,1.0,Research Scientist,4,Single,Medium,1,No,16.0,3.0,3.0,0,Low,3,3,Medium,2,1.0,3.0
59,Adult,No,Travel_Frequently,Medium,Research & Development,High,4,Technical Degree,4,Male,Very High,2,2.0,Healthcare Representative,3,Married,High,1,No,14.0,3.0,2.0,1,Medium,3,2,High,2,7.0,7.0
60,Adult,No,Travel_Rarely,Low,Sales,High,2,Life Sciences,4,Female,Very High,3,2.0,Sales Executive,1,Married,Medium,1,No,15.0,3.0,3.0,1,Low,2,3,Medium,4,1.0,2.0
61,Adult,No,Travel_Rarely,Medium,Sales,High,1,Medical,2,Male,Low,3,1.0,Sales Representative,3,Married,Very High,1,No,11.0,3.0,3.0,0,Medium,1,3,High,4,0.0,6.0
62,Elderly,No,Travel_Frequently,Low,Research & Development,Very High,2,Medical,4,Female,Medium,4,4.0,Manufacturing Director,3,Married,Medium,2,Yes,11.0,3.0,2.0,1,Very High,3,2,Medium,3,0.0,2.0
63,Elderly,No,Travel_Rarely,High,Research & Development,Medium,3,Medical,1,Female,High,2,2.0,Research Scientist,3,Single,High,1,Yes,14.0,3.0,1.0,0,Very High,3,1,Very High,7,1.0,8.0
64,Adult,No,Travel_Rarely,High,Research & Development,Medium,3,Other,3,Male,Medium,3,3.0,Manufacturing Director,3,Single,High,3,No,21.0,4.0,2.0,0,Very High,3,4,High,5,1.0,6.0
65,Adult,No,Travel_Rarely,Medium,Sales,Very High,4,Medical,2,Male,High,3,2.0,Sales Executive,1,Married,High,0,No,16.0,3.0,4.0,1,Low,2,1,Medium,3,0.0,4.0
66,Adult,No,Travel_Rarely,Very High,Human Resources,High,2,Other,3,Male,Very High,3,2.0,Human Resources,2,Divorced,Medium,2,No,13.0,3.0,3.0,0,Very High,4,2,Very High,0,4.0,7.0
67,Adult,No,Travel_Rarely,Low,Sales,Medium,1,Marketing,4,Male,Medium,3,1.0,Sales Representative,2,Single,High,0,No,14.0,3.0,1.0,0,Low,3,3,Low,2,1.0,2.0
68,Elderly,No,Travel_Rarely,High,Research & Development,Low,2,Life Sciences,4,Male,High,3,4.0,Manager,4,Married,Medium,2,No,15.0,3.0,2.0,1,Very High,2,2,High,8,7.0,8.0
69,Senior Citizen,No,Travel_Rarely,Low,Research & Development,Very High,2,Life Sciences,3,Male,Very High,4,3.0,Healthcare Representative,4,Divorced,Very High,3,Yes,16.0,3.0,2.0,1,High,2,1,Medium,3,1.0,4.0
70,Adult,Yes,Travel_Frequently,Low,Research & Development,Very High,4,Life Sciences,4,Female,Very High,3,1.0,Research Scientist,2,Divorced,High,1,Yes,19.0,3.0,1.0,1,Medium,3,2,Very High,2,7.0,8.0
71,Adult,No,Travel_Rarely,Medium,Sales,High,3,Medical,3,Male,Medium,4,2.0,Sales Executive,4,Married,Medium,1,No,15.0,3.0,3.0,2,Medium,4,4,Very High,7,0.0,8.0
72,Adult,No,Non-Travel,Medium,Research & Development,High,2,Other,1,Female,Very High,4,2.0,Manufacturing Director,3,Divorced,Low,0,No,18.0,3.0,4.0,1,Low,5,2,Medium,2,1.0,3.0
73,Adult,No,Travel_Frequently,Medium,Sales,Medium,4,Life Sciences,4,Male,Medium,2,3.0,Sales Executive,1,Married,Very High,5,Yes,21.0,4.0,3.0,1,Very High,2,3,Very High,13,1.0,12.0
74,Elderly,No,Travel_Frequently,Very High,Research & Development,Low,1,Medical,2,Male,Very High,3,3.0,Manufacturing Director,3,Single,High,5,Yes,18.0,3.0,2.0,0,Very High,2,2,Low,2,2.0,2.0
75,Adult,No,Travel_Rarely,Medium,Research & Development,Medium,4,Other,2,Female,Low,4,1.0,Research Scientist,4,Married,High,3,No,17.0,3.0,4.0,2,Low,3,3,Low,2,0.0,2.0
76,Elderly,No,Travel_Rarely,High,Sales,Low,4,Life Sciences,3,Female,Low,2,3.0,Sales Executive,3,Married,Medium,6,No,11.0,3.0,2.0,1,High,4,3,High,4,7.0,0.0
77,Adult,Yes,Travel_Rarely,High,Research & Development,Very High,2,Life Sciences,4,Female,Very High,3,1.0,Laboratory Technician,2,Married,Low,1,No,13.0,3.0,1.0,1,Low,3,1,Low,0,0.0,0.0
78,Adult,No,Travel_Rarely,Very High,Sales,Low,3,Medical,1,Male,High,2,2.0,Sales Executive,2,Married,Low,2,No,19.0,3.0,2.0,2,Medium,2,3,Low,0,0.0,0.0
79,Adult,No,Travel_Frequently,Medium,Research & Development,Medium,3,Life Sciences,4,Male,Medium,4,1.0,Research Scientist,3,Divorced,High,1,No,11.0,3.0,4.0,3,Low,2,3,Medium,2,0.0,3.0
80,Adult,No,Non-Travel,Low,Sales,High,4,Medical,1,Male,High,3,3.0,Sales Executive,2,Divorced,Very High,1,No,13.0,3.0,4.0,1,Medium,6,3,High,5,7.0,7.0
81,Adult,No,Travel_Rarely,Low,Sales,Low,3,Other,4,Male,Medium,3,2.0,Sales Executive,4,Single,High,1,No,22.0,4.0,3.0,0,Low,5,3,High,5,1.0,4.0
82,Adult,No,Travel_Rarely,Low,Research & Development,Low,1,Life Sciences,3,Female,Low,3,1.0,Research Scientist,1,Single,High,3,No,17.0,3.0,4.0,0,Low,3,2,Low,0,0.0,0.0
83,Adult,No,Travel_Frequently,Low,Sales,Medium,4,Marketing,1,Male,Low,3,1.0,Sales Representative,4,Divorced,Low,4,No,17.0,3.0,3.0,1,High,2,3,High,8,5.0,8.0
84,Elderly,No,Travel_Frequently,Low,Sales,Medium,3,Medical,4,Female,Medium,3,4.0,Sales Executive,3,Divorced,Medium,9,Yes,12.0,3.0,4.0,2,Very High,2,2,Very High,2,11.0,13.0
85,Adult,No,Non-Travel,Medium,Sales,Very High,2,Marketing,3,Male,Very High,3,2.0,Sales Executive,2,Married,High,0,No,13.0,3.0,1.0,1,Medium,2,4,High,7,0.0,7.0
86,Young Adult,Yes,Travel_Rarely,Very High,Research & Development,Medium,3,Life Sciences,3,Male,High,4,1.0,Laboratory Technician,1,Married,Low,1,Yes,21.0,4.0,3.0,2,Low,2,3,Low,0,0.0,0.0
87,Elderly,No,Travel_Rarely,High,Research & Development,Medium,3,Life Sciences,4,Male,Medium,3,3.0,Manufacturing Director,4,Single,High,1,No,11.0,3.0,3.0,0,High,2,3,Very High,9,0.0,8.0
